フシギバナ	venusaur
メガバクーダ	camerupt-mega
コータス	torkoal
チルタリス	altaria
メガチルタリス	altaria-mega
ミロカロス	milotic
ポワルン	castform
ジュペッタ	banette
メガジュペッタ	banette-mega
チリーン	chimecho
メガチリーン	chimecho-mega
アブソル	absol
メガアブソル	absol-mega
オニゴーリ	glalie
メガオニゴーリ	glalie-mega
メタグロス	metagross
メガメタグロス	metagross-mega
ドダイトス	torterra
ゴウカザル	infernape
エンペルト	empoleon
ムクホーク	staraptor
メガムクホーク	staraptor-mega
レントラー	luxray
ロズレイド	roserade
ラムパルド	rampardos
トリデプス	bastiodon
ミミロップ	lopunny
メガミミロップ	lopunny-mega
ミカルゲ	spiritomb
ガブリアス	garchomp
メガガブリアス	garchomp-mega
ルカリオ	lucario
メガルカリオ	lucario-mega
カバルドン	hippowdon
ドクロッグ	toxicroak
ユキノオー	abomasnow
メガユキノオー	abomasnow-mega
マニューラ	weavile
ドサイドン	rhyperior
リーフィア	leafeon
グレイシア	glaceon
グライオン	gliscor
マンムー	mamoswine
エルレイド	gallade
メガエルレイド	gallade-mega
ユキメノコ	froslass
メガユキメノコ	froslass-mega
ロトム	rotom
ヒートロトム	rotom-heat
ウォッシュロトム	rotom-wash
フロストロトム	rotom-frost
スピンロトム	rotom-fan
カットロトム	rotom-mow
ジャローダ	serperior
エンブオー	emboar
メガエンブオー	emboar-mega
ダイケンキ	samurott
ダイケンキ(ヒスイ)	samurott-hisui
ミルホッグ	watchog
レパルダス	liepard
ヤナッキー	simisage
バオッキー	simisear
ヒヤッキー	simipour
ムシャーナ	musharna
ドリュウズ	excadrill
メガドリュウズ	excadrill-mega
タブンネ	audino
メガタブンネ	audino-mega
ローブシン	conkeldurr
ペンドラー	scolipede
メガペンドラー	scolipede-mega
エルフーン	whimsicott
ワルビアル	krookodile
ズルズキン	scrafty
メガズルズキン	scrafty-mega
デスカーン	cofagrigus
ダストダス	garbodor
ゾロアーク	zoroark
ゾロアーク(ヒスイ)	zoroark-hisui
ランクルス	reuniclus
バイバニラ	vanilluxe
エモンガ	emolga
シビルドン	eelektross
メガシビルドン	eelektross-mega
シャンデラ	chandelure
メガシャンデラ	chandelure-mega
ツンベアー	beartic
マッギョ	stunfisk
マッギョ(ガラル)	stunfisk-galar
ゴルーグ	golurk
メガゴルーグ	golurk-mega
サザンドラ	hydreigon
ウルガモス	volcarona
ブリガロン	chesnaught
メガブリガロン	chesnaught-mega
マフォクシー	delphox
メガマフォクシー	delphox-mega
ゲッコウガ	greninja
メガゲッコウガ	greninja-mega
ホルード	diggersby
ファイアロー	talonflame
ビビヨン	vivillon
カエンジシ	pyroar-male
メガカエンジシ	pyroar-mega
フラエッテ(えいえん)	floette
メガフラエッテ	floette-mega
フラージェス	florges
ゴロンダ	pangoro
トリミアン	furfrou
ニャオニクス(オス)	meowstic-male
メガニャオニクス(オス)	meowstic-male-mega
ニャオニクス(メス)	meowstic-female
メガニャオニクス(メス)	meowstic-female-mega
ギルガルド(シールド)	aegislash-shield
ギルガルド(ブレード)	aegislash-blade
フレフワン	aromatisse
ペロリーム	slurpuff
カラマネロ	malamar
メガカラマネロ	malamar-mega
ガメノデス	barbaracle
メガガメノデス	barbaracle-mega
ドラミドロ	dragalge
メガドラミドロ	dragalge-mega
ブロスター	clawitzer
エレザード	heliolisk
ガチゴラス	tyrantrum
アマルルガ	aurorus
ニンフィア	sylveon
ルチャブル	hawlucha
メガルチャブル	hawlucha-mega
デデンネ	dedenne
ヌメルゴン	goodra
ヌメルゴン(ヒスイ)	goodra-hisui
クレッフィ	klefki
オーロット	trevenant
パンプジン(普通)	gourgeist-average
パンプジン(小)	gourgeist-small
パンプジン(大)	gourgeist-large
パンプジン(特大)	gourgeist-super
クレベース	avalugg
クレベース(ヒスイ)	avalugg-hisui
オンバーン	noivern
ジュナイパー	decidueye
ジュナイパー(ヒスイ)	decidueye-hisui
ガオガエン	incineroar
アシレーヌ	primarina
ドデカバシ	toucannon
ケケンカニ	crabominable
メガケケンカニ	crabominable-mega
ルガルガン(まひる)	lycanroc-midday
ルガルガン(まよなか)	lycanroc-midnight
ルガルガン(たそがれ)	lycanroc-dusk
ドヒドイデ	toxapex
バンバドロ	mudsdale
オニシズクモ	araquanid
エンニュート	salazzle
アマージョ	tsareena
ヤレユータン	oranguru
ナゲツケサル	passimian
ミミッキュ	mimikyu-disguised
ジジーロン	drampa
メガジジーロン	drampa-mega
ジャラランガ	kommo-o
アーマーガア	corviknight
アップリュー	flapple
タルップル	appletun
サダイジャ	sandaconda
ポットデス	polteageist
ブリムオン	hatterene
オーロンゲ	grimmsnarl
バリコオル	mr-rime
デスバーン	runerigus
マホイップ	alcremie
タイレーツ	falinks
メガタイレーツ	falinks-mega
モルペコ	morpeko-full-belly
ドラパルト	dragapult
アヤシシ	wyrdeer
バサギリ	kleavor
イダイトウ(オス)	basculegion-male
イダイトウ(メス)	basculegion-female
オオニューラ	sneasler
ハリーマン	overqwil
マスカーニャ	meowscarada
ラウドボーン	skeledirge
ウェーニバル	quaquaval
イッカネズミ	maushold-family-of-four
キョジオーン	garganacl
グレンアルマ	armarouge
ソウブレイズ	ceruledge
ハラバリー	bellibolt
スコヴィラン	scovillain
メガスコヴィラン	scovillain-mega
クエスパトラ	espathra
デカヌチャン	tinkaton
イルカマン(ナイーブ)	palafin-zero
イルカマン(マイティ)	palafin-hero
ミミズズ	orthworm
キラフロル	glimmora
メガキラフロル	glimmora-mega
ハカドッグ	houndstone
コノヨザル	annihilape
リキキリン	farigiraf
ドドゲザン	kingambit
サーフゴー	gholdengo
ヤバソチャ	sinistcha
ブリジュラス	archaludon
カミツオロチ	hydrapple
